snapshot_utc	review_status	paper_code	slide_label	trait_type	neale_code	status	alpha_eligible	nonsynonymous_eligible	alpha	alpha_se	alpha_ci_low	alpha_ci_high	nonsynonymous_enrichment	nonsynonymous_enrichment_se	total_h2	total_h2_se	iterations	matched_snp_count
2026-09-13T16:33:32Z	validated	heart-rate-mean	Heart rate	continuous	102_irnt	complete	True	True	-0.39143310824081645	0.11239594033444938	-0.588542074486588	-0.16444951618967393	23.384987277033986	3.6231638895860625	0.17116730677474928	0.0068216477923237024	59	7218362
2026-09-13T16:33:32Z	unresolved	3004410	HbA1c	continuous	30750_irnt	max_iterations	False	False	-0.09862325740040948	0.06242391914443202	-0.22090921549491327	0.02845091128070905	32.45437219077378	5.397852354608139	0.23777656247640638	0.01766360286995995	100	7218030
2026-09-13T16:33:32Z	unresolved	3007070	HDL	continuous	30760_irnt	max_iterations	False	False	-0.5121534026387408	0.11856387549244177	-0.7199886572632185	-0.24582248840198392	44.08327593453905	5.961404267827719	0.28610914658748837	0.02820954132187177	100	7218098
2026-09-13T16:33:32Z	unresolved	3043111	Mean platelet volume	continuous	30100_irnt	max_iterations	False	False	-0.09925295121541024	0.09844038406308472	-0.3015046061059865	0.10370199864419495	32.23496418276906	5.067210660299325	0.541119340036311	0.08775502441677127	100	7218156
2026-09-13T16:33:32Z	unresolved	3011948	Monocyte %	continuous	30190_irnt	max_iterations	False	False	-0.25345605354822603	0.09851713386680361	-0.4406650413239138	-0.04497845425704862	27.196245130883725	5.06642171841779	0.21853938448249927	0.012096221308937824	100	7218173
2026-09-13T16:33:32Z	unresolved	3008342	Neutrophil %	continuous	30200_irnt	max_iterations	False	False	-0.43882472688218893	0.07067490101039464	-0.591633843288214	-0.2728043617764431	22.91505650146281	3.2569823175128256	0.18988369963020896	0.008182603648154332	100	7218173
2026-09-13T16:33:32Z	validated	3024929	Platelets	continuous	30080_irnt	complete	True	True	-0.28352702046505834	0.10222812874906524	-0.47536418592246826	-0.0866823981413371	32.257388002107035	3.513571416428143	0.32629260031687995	0.016817580502181094	62	7218151
2026-09-13T16:33:32Z	validated	3019897	RDW	continuous	30070_irnt	complete	True	True	-0.4345952222535972	0.14136115477818526	-0.6973957844406069	-0.13896771102278324	35.66527184206214	7.120333952523079	0.24149757052609355	0.013881475517744333	85	7218154
2026-09-13T16:33:32Z	validated	3020630	Total protein	continuous	30860_irnt	complete	True	True	-0.48560213730202545	0.0673367581826712	-0.612346877014931	-0.3456390202530507	37.05890962301957	4.180263130831633	0.18235009441509972	0.0064884722300080295	29	7218145
2026-09-13T16:33:32Z	unresolved	3022192	Triglycerides	continuous	30870_irnt	max_iterations	False	False	-0.35685701523278196	0.1870745898015625	-0.6681072691805265	-0.006763043684800586	50.77644207213443	11.847271229092962	0.20545055489107916	0.012484359614172812	100	7217962
