trait	trait_id	annotation	published_label	is_primary	annotation_interpretation	enrichment_off	enrichment_on	absolute_change	relative_change_percent	annotation_h2_off	annotation_h2_on	annotation_weight_sum	annotation_weight_fraction	status_off	status_on	optimizer
weight	21002_irnt	Human_Promoter_Villar_ExAC.flanking.500		False	verified_binary	0.17453451570994247	0.5993806606259072	0.42484614491596473	243.41669221577536	3.0725690928794655e-05	0.00010565609838151029	4417.0	0.0006119309212144135	stationary	stationary	ai
hemoglobin	30020_irnt	base		False	type_not_verified	1.0	1.0	0.0	0.0	0.19372157740238755	0.1941715051981841	7218151.0	1.0	stationary	stationary	ai
hemoglobin	30020_irnt	Coding_UCSC	Coding	True	published_binary	11.65239970358904	11.436109598529452	-0.21629010505958846	-1.8561850825711823	0.03414588243500528	0.033589905077060896	109187.0	0.015126727052398876	stationary	stationary	ai
hemoglobin	30020_irnt	Coding_UCSC.flanking.500		False	type_not_verified	2.176418409047522	2.1871374834333817	0.010719074385859617	0.492509819862752	0.02140382408496042	0.021559196277634605	366435.0	0.05076577090171707	stationary	stationary	ai
hemoglobin	30020_irnt	Conserved_LindbladToh	Conserved	True	published_binary	10.451445914035613	10.22831393982311	-0.22313197421250308	-2.1349388022268934	0.0562646373977533	0.055191309300229204	200589.0	0.027789526708432672	stationary	stationary	ai
hemoglobin	30020_irnt	Conserved_LindbladToh.flanking.500		False	type_not_verified	1.3284057896523804	1.3381411056882593	0.00973531603587885	0.7328570916893096	0.0822837154421976	0.08307924596967767	2307975.0	0.31974601251761015	stationary	stationary	ai
hemoglobin	30020_irnt	CTCF_Hoffman		False	type_not_verified	1.8355888091298012	1.853776261122996	0.018187451993194825	0.9908238654939838	0.008378925760710634	0.008481599438780098	170083.0	0.023563236623894403	stationary	stationary	ai
hemoglobin	30020_irnt	CTCF_Hoffman.flanking.500		False	type_not_verified	1.596539596542853	1.594919477782233	-0.0016201187606199596	-0.10147689190598275	0.014306728736115265	0.014325405067726086	333894.0	0.04625755266133945	stationary	stationary	ai
hemoglobin	30020_irnt	DGF_ENCODE		False	type_not_verified	3.8606063076314174	3.793684443988472	-0.06692186364294539	-1.733454755815378	0.1044326257888048	0.10286067883659965	1007926.0	0.13963769946070675	stationary	stationary	ai
hemoglobin	30020_irnt	DGF_ENCODE.flanking.500		False	type_not_verified	1.0438685412407942	1.0639400145242028	0.020071473283408636	1.9227970276363138	0.08243152907662094	0.08421165252615213	2942358.0	0.4076332013558597	stationary	stationary	ai
hemoglobin	30020_irnt	DHS_peaks_Trynka		False	type_not_verified	4.44855725029106	4.372302825341207	-0.07625442494985268	-1.7141383297891388	0.09962800302057383	0.09814766576158405	834469.0	0.11560703011061974	stationary	stationary	ai
hemoglobin	30020_irnt	DHS_Trynka	DHS	True	published_binary	3.6420518036670324	3.5755828161064587	-0.06646898756057373	-1.8250423427159657	0.1227723546841241	0.12081164798469562	1256037.0	0.1740109066712514	stationary	stationary	ai
hemoglobin	30020_irnt	DHS_Trynka.flanking.500		False	type_not_verified	0.6713240279377488	0.702702053704335	0.031378025766586215	4.6740507505707685	0.04371348966179912	0.04586295247144505	2426226.0	0.33612846281547726	stationary	stationary	ai
hemoglobin	30020_irnt	Enhancer_Andersson		False	type_not_verified	8.017956037433882	7.761900911506578	-0.25605512592730406	-3.1935212008128433	0.006813030483261176	0.00661077317552158	31661.0	0.0043863033621768235	stationary	stationary	ai
hemoglobin	30020_irnt	Enhancer_Andersson.flanking.500		False	type_not_verified	2.6809993385647815	2.719472057136025	0.03847271857124346	1.4350141015640583	0.007694219168391631	0.007822758936983053	106934.0	0.014814597256277958	stationary	stationary	ai
hemoglobin	30020_irnt	Enhancer_Hoffman	Enhancer	True	published_binary	5.849242110237272	5.768486744929086	-0.08075536530818628	-1.3806124586097979	0.048703864416964615	0.04814300818476607	310250.0	0.042981921547498796	stationary	stationary	ai
hemoglobin	30020_irnt	Enhancer_Hoffman.flanking.500		False	type_not_verified	4.411867087278342	4.434416505569913	0.022549418291570866	0.5111082869334815	0.040803132717343586	0.0411069325357575	344603.0	0.04774117360526262	stationary	stationary	ai
hemoglobin	30020_irnt	FetalDHS_Trynka		False	type_not_verified	4.963409546510708	4.883248723270117	-0.08016082324059148	-1.6150354406467393	0.08486824154567897	0.08369151658365435	637108.0	0.08826470934176911	stationary	stationary	ai
hemoglobin	30020_irnt	FetalDHS_Trynka.flanking.500		False	type_not_verified	1.4791237299390743	1.4947331590576927	0.015609429118618401	1.0553159822039637	0.05855681037901157	0.05931220604158438	1475098.0	0.20435953750482638	stationary	stationary	ai
hemoglobin	30020_irnt	H3K27ac_Hnisz		False	type_not_verified	2.1578825913764157	2.1545413909259903	-0.003341200450425408	-0.15483698991677342	0.16531525648190248	0.16544264554639768	2854520.0	0.39546415695653914	stationary	stationary	ai
hemoglobin	30020_irnt	H3K27ac_Hnisz.flanking.500		False	type_not_verified	1.1281306790741468	1.1249293366382218	-0.0032013424359249587	-0.28377407824351497	0.006853873268731511	0.006850297034972865	226373.0	0.03136163263971618	stationary	stationary	ai
