annotation	exact	screened	absolute_change	relative_change_percent
H3K4me3_Trynka.flanking.500	0.9810277615724061	0.9812161193009452	0.00018835772853909027	0.019200040602029844
H3K9ac_peaks_Trynka	3.1375122612520534	3.13811120637273	0.0005989451206764862	0.019089809721961615
H3K9ac_Trynka	2.694707553606578	2.694840356389446	0.00013280278286798008	0.0049282818348928
H3K9ac_Trynka.flanking.500	0.9704742776768146	0.9704747483170933	4.706402787491015e-07	4.8495904492185105e-05
Intron_UCSC	1.1283358713153455	1.1283262813936974	-9.589921648123223e-06	-0.0008499172889808726
Intron_UCSC.flanking.500	7.802175296033638	7.8022977350127425	0.00012243897910479973	0.001569292850511772
PromoterFlanking_Hoffman	1.1907942288581415	1.1902135061926065	-0.000580722665534994	-0.04876767551114103
PromoterFlanking_Hoffman.flanking.500	2.570689400129332	2.5705580884178105	-0.00013131171152158672	-0.0051080348919207985
Promoter_UCSC	3.053801529661697	3.053735935462422	-6.559419927532062e-05	-0.0021479522699263676
Promoter_UCSC.flanking.500	1.678810504067333	1.6793635366402528	0.0005530325729199426	0.03294192951379671
Repressed_Hoffman	0.6943408936137991	0.6943299569424458	-1.0936671353323213e-05	-0.0015751155453935795
Repressed_Hoffman.flanking.500	0.7483996078535404	0.7484249331488996	2.5325295359146516e-05	0.003383926861189046
SuperEnhancer_Hnisz	1.6981842232253963	1.6981831434931896	-1.0797322067546133e-06	-6.358157095265327e-05
SuperEnhancer_Hnisz.flanking.500	1.0116523320343986	1.0109006198674402	-0.0007517121669584625	-0.07430538567007039
TFBS_ENCODE	2.201315912442873	2.201426750651209	0.00011083820833590607	0.00503508868079372
TFBS_ENCODE.flanking.500	1.0155483043067914	1.0155912204666222	4.291615983076369e-05	0.004225910244626263
Transcr_Hoffman	1.1692218180886187	1.1692205628563412	-1.2552322774528335e-06	-0.00010735621402968576
Transcr_Hoffman.flanking.500	0.7197773044772302	0.7197364619305803	-4.084254664993292e-05	-0.0056743309904128125
TSS_Hoffman	5.636698961231683	5.636920689411425	0.0002217281797420867	0.003933653034637885
TSS_Hoffman.flanking.500	2.471648266394782	2.4720424066737126	0.00039414027893069914	0.015946455015036776
UTR_3_UCSC	5.8076556093307685	5.807909565690183	0.0002539563594146088	0.004372786137785134
UTR_3_UCSC.flanking.500	2.6181313632607237	2.617176720248153	-0.000954643012570866	-0.036462762180955455
UTR_5_UCSC	5.500309058527325	5.50089297063921	0.0005839121118853541	0.010615987314022135
UTR_5_UCSC.flanking.500	2.8515902664091466	2.851470689263643	-0.000119577145503591	-0.004193349476333541
WeakEnhancer_Hoffman	1.9268136331420933	1.9266877787685348	-0.00012585437355849827	-0.0065317356797600645
WeakEnhancer_Hoffman.flanking.500	1.4417375201367812	1.441705268764508	-3.225137227325092e-05	-0.0022369794655974218
GERP.NS	1.8941176848535561	1.8940988144307123	-1.887042284387519e-05	-0.0009962645401984105
GERP.RSsup4	12.396722729364683	12.39716141412899	0.0004386847643065295	0.0035387156257726815
MAFbin1	0.5602420515830226	0.5602665732540555	2.4521671032839976e-05	0.004376977944353655
MAFbin2	0.7416440920969514	0.7416351912553086	-8.900841642733859e-06	-0.0012001500096281426
MAFbin3	0.7662849212608601	0.7662935017151586	8.580454298523499e-06	0.0011197472455037882
